run_dir,checkpoint_path,teammate_embed_dim,objective_hidden_dim,set_hidden_dim,fusion_hidden_dim,objective_num_layers,ff_expansion,num_set_blocks,dropout,learning_rate,weight_decay,batch_size,label_mapping_enabled,best_epoch,stop_reason,val_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1,best_val_loss,best_val_macro_f1_during_training
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_372_h256_objh384_te256_fu384_obj1_ff4_blocks5_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_372_h256_objh384_te256_fu384_obj1_ff4_blocks5_drop0p1_lr0p0005_wd0p0001/best_model.pt,256,384,256,384,1,4,5,0.1,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.618025435565684,0.5827945916643353,0.6131259527923467,0.6180223285486444,0.595535997480101,0.6065672460053362,1.767204432575791,0.5827945916643353
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_106_h128_objh128_te64_fu128_obj1_ff4_blocks4_drop0p3_lr0p0005_wd0p001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_106_h128_objh128_te64_fu128_obj1_ff4_blocks4_drop0p3_lr0p0005_wd0p001/best_model.pt,64,128,128,128,1,4,4,0.3,0.0005,0.001,512,True,3,early_stopping_val_loss_overfit_patience_3,0.6141292361978975,0.581714791334286,0.6106247056923707,0.5529940553863999,0.5158619221689668,0.531773060013913,1.5170815255906847,0.581714791334286
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_184_h192_objh256_te128_fu256_obj2_ff2_blocks4_drop0p2_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_184_h192_objh256_te128_fu256_obj2_ff2_blocks4_drop0p2_lr0p0005_wd0p0005/best_model.pt,128,256,192,256,2,2,4,0.2,0.0005,0.0005,512,True,1,early_stopping_val_macro_f1_patience_3,0.6149378813497023,0.581357176878749,0.6162141909513289,0.5571987820791648,0.5199163440042885,0.5335185880061293,1.8977852706555967,0.581357176878749
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_058_h128_objh128_te64_fu128_obj1_ff4_blocks4_drop0p2_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_058_h128_objh128_te64_fu128_obj1_ff4_blocks4_drop0p2_lr0p0005_wd0p0005/best_model.pt,64,128,128,128,1,4,4,0.2,0.0005,0.0005,512,True,2,early_stopping_val_loss_overfit_patience_3,0.6097919576563994,0.5788111160816268,0.6091550465917013,0.5444396114252573,0.5011760481060107,0.5183757450354968,1.6083207152507923,0.5788111160816268
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_192_h192_objh256_te128_fu256_obj2_ff4_blocks5_drop0p2_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_192_h192_objh256_te128_fu256_obj2_ff4_blocks5_drop0p2_lr0p0005_wd0p0005/best_model.pt,128,256,192,256,2,4,5,0.2,0.0005,0.0005,512,True,1,early_stopping_val_macro_f1_patience_3,0.6117768139381019,0.5779664453228419,0.6118564779576406,0.5882992605480644,0.5588696622599116,0.5656353824120209,1.7742850912941828,0.5779664453228419
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_075_h128_objh128_te64_fu128_obj1_ff2_blocks4_drop0p25_lr0p001_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_075_h128_objh128_te64_fu128_obj1_ff2_blocks4_drop0p25_lr0p001_wd0p0005/best_model.pt,64,128,128,128,1,2,4,0.25,0.001,0.0005,512,True,1,early_stopping_val_macro_f1_patience_3,0.6068514298316547,0.5766804710939646,0.6060429563967699,0.5724952878062926,0.5368133374792061,0.550302219889355,1.8474502210263852,0.5766804710939646
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_102_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p3_lr0p0005_wd0p001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_102_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p3_lr0p0005_wd0p001/best_model.pt,64,128,128,128,1,2,5,0.3,0.0005,0.001,512,True,3,early_stopping_val_loss_overfit_patience_3,0.5936190546203044,0.575894047156838,0.5967377986229855,0.5231984920980136,0.4918447415356232,0.5072318960286851,1.604043717737551,0.575894047156838
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_210_h192_objh256_te128_fu256_obj2_ff2_blocks5_drop0p25_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_210_h192_objh256_te128_fu256_obj2_ff2_blocks5_drop0p25_lr0p0005_wd0p0005/best_model.pt,128,256,192,256,2,2,5,0.25,0.0005,0.0005,512,True,2,early_stopping_val_loss_overfit_patience_3,0.6046460339630964,0.5756969094440543,0.6059315056717027,0.5416847904886183,0.5172453295909921,0.5305636841196757,1.5503670595310353,0.5756969094440543
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_034_h128_objh128_te64_fu128_obj1_ff4_blocks4_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_034_h128_objh128_te64_fu128_obj1_ff4_blocks4_drop0p15_lr0p0005_wd0p0001/best_model.pt,64,128,128,128,1,4,4,0.15,0.0005,0.0001,512,True,3,early_stopping_val_loss_overfit_patience_3,0.5947217525545836,0.574877846831391,0.5977735802687478,0.5392924459910106,0.512069207590644,0.5318383945192635,1.7636729964503535,0.574877846831391
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_236_h192_objh256_te128_fu256_obj2_ff4_blocks3_drop0p3_lr0p0005_wd0p001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_236_h192_objh256_te128_fu256_obj2_ff4_blocks3_drop0p3_lr0p0005_wd0p001/best_model.pt,128,256,192,256,2,4,3,0.3,0.0005,0.001,512,True,2,early_stopping_val_loss_overfit_patience_3,0.6175843563919724,0.5741402196300575,0.612912328898445,0.533202841815282,0.49451097644277814,0.5116317236744311,1.8234647534511708,0.5741402196300575
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_101_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p3_lr0p001_wd0p001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_101_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p3_lr0p001_wd0p001/best_model.pt,64,128,128,128,1,2,5,0.3,0.001,0.001,512,True,2,early_stopping_val_loss_overfit_patience_3,0.6015584797471146,0.5728356800570349,0.6005290704956058,0.5778599391039583,0.538858150674097,0.5530924587673571,1.6805798786657828,0.5728356800570349
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_168_h192_objh256_te128_fu256_obj2_ff4_blocks5_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_168_h192_objh256_te128_fu256_obj2_ff4_blocks5_drop0p15_lr0p0005_wd0p0001/best_model.pt,128,256,192,256,2,4,5,0.15,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6142762625891347,0.5721295401341701,0.6114310881275481,0.5793098448600841,0.5461238110773633,0.5554885172288765,1.662636065924609,0.5721295401341701
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_314_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p25_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_314_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p25_lr0p0005_wd0p0005/best_model.pt,128,256,256,256,1,2,3,0.25,0.0005,0.0005,512,True,1,early_stopping_val_macro_f1_patience_3,0.5996471366610306,0.5712730860394267,0.5999868980172459,0.5933014354066986,0.5622970743053213,0.5742103565759582,1.7671151646861323,0.5712730860394267
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_084_h128_objh128_te64_fu128_obj1_ff4_blocks5_drop0p25_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_084_h128_objh128_te64_fu128_obj1_ff4_blocks5_drop0p25_lr0p0005_wd0p0005/best_model.pt,64,128,128,128,1,4,5,0.25,0.0005,0.0005,512,True,1,early_stopping_val_macro_f1_patience_3,0.6040579283981474,0.5704861269648439,0.6044771532977039,0.5897491663041903,0.5676716516358479,0.571301083118416,1.4664092704101845,0.5704861269648439
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_340_h256_objh256_te128_fu256_obj1_ff2_blocks4_drop0p3_lr0p0005_wd0p001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_340_h256_objh256_te128_fu256_obj1_ff2_blocks4_drop0p3_lr0p0005_wd0p001/best_model.pt,128,256,256,256,1,2,4,0.3,0.0005,0.001,512,True,1,early_stopping_val_macro_f1_patience_3,0.5994265970741748,0.5704725517904902,0.6041883449560609,0.55748876323039,0.5274870020058638,0.5348147874401791,1.768968772005152,0.5704725517904902
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_320_h256_objh256_te128_fu256_obj1_ff4_blocks3_drop0p25_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_320_h256_objh256_te128_fu256_obj1_ff4_blocks3_drop0p25_lr0p0005_wd0p0005/best_model.pt,128,256,256,256,1,4,3,0.25,0.0005,0.0005,512,True,2,early_stopping_val_macro_f1_patience_3,0.5953098581195324,0.5701101947089356,0.6018383124569436,0.5593011454255473,0.5251199205673611,0.5406119530393516,1.7770657451064498,0.5701101947089356
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_275_h256_objh256_te128_fu256_obj1_ff4_blocks5_drop0p15_lr0p001_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_275_h256_objh256_te128_fu256_obj1_ff4_blocks5_drop0p15_lr0p001_wd0p0001/best_model.pt,128,256,256,256,1,4,5,0.15,0.001,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6015584797471146,0.5699858421734324,0.597770150724026,0.5673481223720458,0.5246703654277755,0.5480536072787772,2.0423908211566784,0.5699858421734324
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_038_h128_objh128_te64_fu128_obj2_ff2_blocks3_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_038_h128_objh128_te64_fu128_obj2_ff2_blocks3_drop0p15_lr0p0005_wd0p0001/best_model.pt,64,128,128,128,2,2,3,0.15,0.0005,0.0001,512,True,2,early_stopping_val_macro_f1_patience_3,0.6047930603543336,0.5698641829514982,0.6045648332776355,0.577787443816152,0.5551578445782973,0.5570060509349193,1.6866818423624392,0.5698641829514982
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_136_h192_objh256_te128_fu256_obj2_ff2_blocks4_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_136_h192_objh256_te128_fu256_obj2_ff2_blocks4_drop0p1_lr0p0005_wd0p0001/best_model.pt,128,256,192,256,2,2,4,0.1,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6083952069396457,0.5697924172884131,0.6058640748143518,0.5516891402058867,0.5092964392485523,0.5264903082862205,2.104645954238044,0.5697924172884131
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_148_h192_objh256_te128_fu256_obj1_ff2_blocks4_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_148_h192_objh256_te128_fu256_obj1_ff2_blocks4_drop0p15_lr0p0005_wd0p0001/best_model.pt,128,256,192,256,1,2,4,0.15,0.0005,0.0001,512,True,2,early_stopping_val_macro_f1_patience_3,0.6008233477909285,0.5695288388279685,0.6126841702835756,0.5235609685370451,0.48793184505424886,0.5093319187979083,2.0241793813528837,0.5695288388279685
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_089_h128_objh128_te64_fu128_obj2_ff2_blocks5_drop0p25_lr0p001_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_089_h128_objh128_te64_fu128_obj2_ff2_blocks5_drop0p25_lr0p001_wd0p0005/best_model.pt,64,128,128,128,2,2,5,0.25,0.001,0.0005,512,True,2,early_stopping_val_macro_f1_patience_3,0.6044990075718591,0.5694587074647899,0.6028128655465333,0.5713353632013919,0.530299701710141,0.5415373498246361,1.8552970555093553,0.5694587074647899
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_096_h128_objh128_te64_fu128_obj2_ff4_blocks5_drop0p25_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_096_h128_objh128_te64_fu128_obj2_ff4_blocks5_drop0p25_lr0p0005_wd0p0005/best_model.pt,64,128,128,128,2,4,5,0.25,0.0005,0.0005,512,True,4,early_stopping_val_loss_overfit_patience_3,0.5947952657502021,0.5687978725400514,0.5979989215919685,0.5400173988690735,0.511376221390939,0.5346023081820073,1.815519392490387,0.5687978725400514
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_078_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p25_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_078_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p25_lr0p0005_wd0p0005/best_model.pt,64,128,128,128,1,2,5,0.25,0.0005,0.0005,512,True,2,early_stopping_val_macro_f1_patience_3,0.5975152539880909,0.5685824509189598,0.5996631631954614,0.5793098448600841,0.5469752409250019,0.5567787365242676,1.5221824844678242,0.5685824509189598
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_153_h192_objh256_te128_fu256_obj1_ff4_blocks4_drop0p15_lr0p001_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_153_h192_objh256_te128_fu256_obj1_ff4_blocks4_drop0p15_lr0p001_wd0p0001/best_model.pt,128,256,192,256,1,4,4,0.15,0.001,0.0001,512,True,2,early_stopping_val_macro_f1_patience_3,0.6062633242667059,0.568324257819672,0.6105813467488154,0.555748876323039,0.5084291777542186,0.5408141230744095,2.0422754574705055,0.568324257819672
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_122_h192_objh256_te128_fu256_obj1_ff2_blocks3_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_122_h192_objh256_te128_fu256_obj1_ff2_blocks3_drop0p1_lr0p0005_wd0p0001/best_model.pt,128,256,192,256,1,2,3,0.1,0.0005,0.0001,512,True,2,early_stopping_val_loss_overfit_patience_3,0.5884731309270014,0.5681432525158591,0.6011375205903352,0.5529215600985936,0.5142317890827561,0.5370626642407202,2.1891137714739197,0.5681432525158591
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_170_h192_objh256_te128_fu256_obj1_ff2_blocks3_drop0p2_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_170_h192_objh256_te128_fu256_obj1_ff2_blocks3_drop0p2_lr0p0005_wd0p0005/best_model.pt,128,256,192,256,1,2,3,0.2,0.0005,0.0005,512,True,3,early_stopping_val_loss_overfit_patience_3,0.5875174593839594,0.5675903401841415,0.5972407692971813,0.5065245759025664,0.47253718030755304,0.49589047234959016,2.090874331968802,0.5675903401841415
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_026_h128_objh128_te64_fu128_obj1_ff2_blocks3_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_026_h128_objh128_te64_fu128_obj1_ff2_blocks3_drop0p15_lr0p0005_wd0p0001/best_model.pt,64,128,128,128,1,2,3,0.15,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6090568257002131,0.5674955335029669,0.6038335848231514,0.5751051181673191,0.5301718373227927,0.5488484562074756,1.8219841144703053,0.5674955335029669
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_242_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_242_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p1_lr0p0005_wd0p0001/best_model.pt,128,256,256,256,1,2,3,0.1,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.6046460339630964,0.5670913436942218,0.601366317288084,0.574597651152675,0.5379609892581884,0.5502063221655678,1.842400696542528,0.5670913436942218
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_276_h256_objh256_te128_fu256_obj1_ff4_blocks5_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_276_h256_objh256_te128_fu256_obj1_ff4_blocks5_drop0p15_lr0p0005_wd0p0001/best_model.pt,128,256,256,256,1,4,5,0.15,0.0005,0.0001,512,True,1,early_stopping_val_macro_f1_patience_3,0.5868558406233919,0.5668413986264025,0.5899704826899473,0.5573437726547774,0.5200589283202054,0.5409869102130931,1.7350588772031996,0.5668413986264025
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_012_h128_objh128_te64_fu128_obj1_ff4_blocks5_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_012_h128_objh128_te64_fu128_obj1_ff4_blocks5_drop0p1_lr0p0005_wd0p0001/best_model.pt,64,128,128,128,1,4,5,0.1,0.0005,0.0001,512,True,2,early_stopping_val_loss_overfit_patience_3,0.5953098581195324,0.5663541927626704,0.5956077286720375,0.5384949978251413,0.5034878415345102,0.5151596360946407,1.7654919668480202,0.5663541927626704
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_008_h128_objh128_te64_fu128_obj1_ff4_blocks3_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_008_h128_objh128_te64_fu128_obj1_ff4_blocks3_drop0p1_lr0p0005_wd0p0001/best_model.pt,64,128,128,128,1,4,3,0.1,0.0005,0.0001,512,True,2,early_stopping_val_loss_overfit_patience_3,0.5925898698816437,0.566208431588749,0.5953556525084952,0.5654632448890822,0.5361132162306004,0.5477695317117698,1.7484275080539562,0.566208431588749
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_172_h192_objh256_te128_fu256_obj1_ff2_blocks4_drop0p2_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_172_h192_objh256_te128_fu256_obj1_ff2_blocks4_drop0p2_lr0p0005_wd0p0005/best_model.pt,128,256,192,256,1,2,4,0.2,0.0005,0.0005,512,True,2,early_stopping_val_macro_f1_patience_3,0.6041314415937661,0.5662001294269264,0.6045606650292102,0.5431346962447441,0.5022804921620848,0.51553317982914,2.1873535248968334,0.5662001294269264
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_188_h192_objh256_te128_fu256_obj2_ff4_blocks3_drop0p2_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_195856/runs/run_188_h192_objh256_te128_fu256_obj2_ff4_blocks3_drop0p2_lr0p0005_wd0p0005/best_model.pt,128,256,192,256,2,4,3,0.2,0.0005,0.0005,512,True,1,early_stopping_val_macro_f1_patience_3,0.6036168492244358,0.5659904812171525,0.6022665572289814,0.5630709003914746,0.5269453472476849,0.5379761296554494,1.9234074464550726,0.5659904812171525
